,MSSubClass,LotArea,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,ExterCond,CentralAir,YrSold,price_bracket
0,0,227,21,0,2,6,4,106,4,1,0,1
1,0,625,12,0,2,6,4,71,2,1,1,1
2,0,575,5,0,2,7,4,109,4,1,3,2
3,0,357,12,0,2,4,6,58,2,1,3,1
4,14,135,17,1,0,4,3,55,4,1,3,0
5,7,116,17,0,3,5,5,16,4,1,3,1
6,11,41,0,4,2,6,4,106,4,1,3,1
7,5,857,8,0,5,5,4,96,4,1,0,1
8,9,624,14,0,6,6,5,75,4,1,4,1
9,4,268,9,0,0,5,6,24,1,1,2,0
10,0,253,20,0,2,4,4,66,4,1,0,1
11,0,881,21,0,2,7,4,107,4,1,1,2
12,6,862,6,0,5,4,4,18,4,1,0,1
13,7,1007,17,0,3,6,8,2,4,1,2,2
14,0,611,12,0,2,3,4,72,4,1,4,1
15,5,659,5,0,5,5,6,78,4,1,4,1
16,5,688,19,0,5,5,4,79,4,1,3,1
17,1,413,17,0,2,4,7,28,4,1,3,1
18,0,534,19,0,2,4,4,62,4,1,1,1
19,4,669,7,0,0,4,4,44,4,1,3,1
20,10,646,19,2,2,3,4,69,4,0,4,1
21,5,999,24,0,5,6,6,75,4,1,1,2
22,11,42,0,4,2,7,4,104,4,1,0,2
23,4,117,17,0,0,5,6,24,4,1,2,0
24,0,368,12,0,2,5,5,60,4,1,4,1
25,0,935,12,0,2,5,5,61,4,1,1,1
26,11,187,16,4,2,6,4,106,4,1,0,1
27,5,409,21,0,5,7,4,108,4,1,1,3
28,6,498,17,0,5,4,6,14,2,1,1,1
29,6,616,6,0,5,7,7,36,4,1,1,3
30,0,162,5,0,2,6,4,107,4,1,0,1
31,4,498,7,0,0,5,4,28,4,0,2,0
32,0,872,19,0,2,4,4,75,4,1,0,1
33,4,603,17,0,0,5,6,24,2,1,2,2
34,11,950,24,4,2,7,4,97,4,1,2,2
35,12,19,16,3,5,6,4,104,4,1,3,1
36,12,72,21,4,5,6,4,107,4,1,1,1
37,0,596,14,0,2,6,4,89,4,1,0,2
38,10,623,12,2,2,4,3,65,4,1,1,1
39,5,487,5,0,5,6,5,104,4,1,4,2
40,5,389,20,0,5,6,4,95,4,1,4,2
41,12,26,7,3,5,6,4,105,4,1,0,1
42,0,441,12,0,2,4,7,66,4,1,0,1
43,0,422,12,0,2,4,5,66,4,1,3,1
44,5,473,20,0,5,6,6,94,4,1,4,1
45,5,672,14,0,5,5,6,69,4,1,0,2
46,11,94,13,4,2,5,5,77,4,1,3,1
47,12,9,2,4,5,4,4,72,4,1,1,1
48,4,115,17,0,0,4,6,33,4,1,4,1
49,1,138,3,0,2,1,2,39,1,0,3,0
50,4,156,3,0,0,5,4,42,4,1,0,1
51,14,119,9,1,5,3,4,34,1,0,4,0
52,12,17,21,3,5,6,4,100,4,1,2,1
53,5,895,16,0,5,8,4,107,4,1,1,3
54,0,289,12,0,2,3,6,71,2,1,3,1
55,0,409,19,0,2,4,2,60,4,1,2,0
56,5,292,21,0,5,6,4,106,4,1,0,1
57,5,549,4,0,5,5,4,89,4,1,1,2
58,0,557,14,0,2,4,5,76,4,1,0,1
59,5,894,16,0,5,8,4,104,4,1,2,4
60,0,923,16,0,2,7,4,108,4,1,3,2
61,6,25,17,0,5,6,7,19,4,1,3,1
62,12,6,2,3,5,5,7,73,4,1,3,1
63,11,265,20,4,2,5,4,94,4,1,2,1
64,5,188,12,0,5,5,4,64,4,1,2,1
65,0,135,17,0,2,4,5,58,4,1,2,1
66,10,374,7,2,0,4,6,9,4,1,2,1
67,8,249,8,0,7,6,4,101,4,1,4,1
68,0,868,19,0,2,4,4,55,4,1,2,1
69,11,145,16,4,2,7,4,107,4,1,3,2
70,11,98,16,3,2,6,4,108,4,1,3,2
71,5,292,21,0,5,6,4,107,4,1,0,1
72,11,80,5,4,2,5,4,105,4,1,4,1
73,12,20,13,3,5,5,5,77,4,1,3,1
74,4,836,17,0,0,4,7,19,4,1,2,1
75,5,676,16,0,5,7,4,107,4,1,0,2
76,5,372,8,0,5,5,4,98,4,1,1,1
77,0,327,5,0,2,6,4,104,4,1,1,1
78,5,635,5,0,5,6,5,97,4,1,3,2
79,12,40,21,4,5,6,4,106,4,1,0,1
80,0,356,12,0,2,4,5,64,2,1,2,1
81,3,225,9,0,1,6,6,34,4,1,1,1
82,10,523,12,2,2,3,4,63,4,1,1,1
83,0,737,12,0,2,5,4,61,4,1,0,1
84,5,456,20,0,5,6,4,94,4,1,3,2
85,4,636,15,0,0,7,4,93,4,1,1,2
86,5,800,8,0,5,5,4,101,4,1,3,2
87,11,84,11,4,2,5,4,100,4,1,3,1
88,0,409,12,0,2,4,4,55,4,1,0,1
89,6,775,6,0,5,6,6,44,4,1,3,1
90,4,135,3,0,0,4,7,29,4,1,3,1
91,0,491,5,0,2,4,6,73,2,1,0,1
92,5,916,16,0,5,6,4,107,4,1,1,2
93,11,110,16,3,2,5,4,106,4,1,3,1
94,10,185,12,2,6,4,4,80,4,1,0,1
95,4,899,9,0,0,4,4,51,4,1,1,1
96,1,374,7,0,2,4,6,14,4,1,2,0
97,5,290,8,0,5,5,4,101,4,1,0,1
98,0,896,20,0,2,5,4,104,4,1,2,1
99,10,345,12,2,2,2,3,51,4,0,0,0
100,0,728,23,0,2,7,4,106,4,1,0,3
101,4,307,7,0,0,4,6,22,4,1,0,1
102,0,202,5,0,2,4,4,73,4,1,3,1
103,8,173,4,0,7,4,3,59,4,1,0,1
104,0,395,12,0,2,4,6,54,4,1,1,1
105,0,366,12,0,2,4,5,71,4,1,3,1
106,5,292,8,0,5,5,4,95,4,1,3,1
107,0,231,12,0,2,4,5,59,4,1,3,1
108,0,759,22,0,2,7,4,109,4,1,3,3
109,12,16,21,4,5,5,4,101,4,1,1,1
110,4,84,18,0,0,4,4,36,4,1,3,1
111,1,69,3,0,2,2,5,38,4,1,2,0
112,1,113,17,0,2,4,5,24,4,1,1,0
113,4,202,12,0,0,4,3,51,4,1,3,1
114,8,202,7,0,7,5,5,77,4,1,3,1
115,5,683,21,0,5,7,4,105,4,1,1,3
116,0,1057,4,0,2,3,5,55,4,1,2,2
117,0,1049,23,0,2,4,3,64,4,1,1,1
118,0,799,16,0,2,9,4,110,4,1,3,4
119,4,608,18,0,0,5,4,39,4,1,2,1
120,5,736,14,0,7,6,5,80,4,1,1,1
121,9,547,7,0,6,3,4,73,4,1,2,1
122,1,135,17,0,2,5,5,29,2,1,0,1
123,0,405,12,0,2,4,6,59,4,1,0,1
124,9,753,19,0,6,4,6,62,4,1,4,1
125,0,334,19,0,2,4,5,64,4,1,1,1
126,1,569,19,0,2,4,7,43,4,1,2,1
127,0,827,12,0,2,3,4,61,4,1,2,1
128,8,496,23,0,7,6,4,104,4,1,1,1
129,0,202,12,0,2,4,4,51,4,1,2,0
130,0,587,19,0,2,4,5,69,4,1,0,1
131,1,91,9,0,2,3,6,20,4,1,1,1
132,4,1006,4,0,0,4,5,47,4,1,1,2
133,5,836,23,0,5,7,4,106,4,1,1,2
134,0,216,12,0,2,4,5,60,4,1,1,1
135,0,503,20,0,2,5,4,85,4,1,4,1
136,5,301,5,0,5,6,4,106,4,1,2,1
137,5,678,11,0,5,4,3,70,4,1,2,1
138,0,296,7,0,2,4,6,56,4,1,0,1
139,6,660,6,0,5,6,8,30,4,1,3,2
140,10,860,12,2,2,4,4,66,4,1,2,1
141,1,737,6,0,2,3,4,26,4,1,0,1
142,6,498,17,0,5,6,6,29,4,1,0,1
143,0,516,5,0,2,4,6,73,4,1,0,1
144,5,227,21,0,5,6,4,101,4,1,4,2
145,0,957,23,0,2,7,5,77,4,1,2,2
146,0,785,11,0,2,6,4,105,4,1,3,2
147,1,135,17,0,2,3,3,24,4,1,1,1
148,5,803,23,0,5,7,4,104,4,1,2,3
149,0,848,23,0,2,8,4,108,4,1,3,3
150,6,140,3,0,5,5,7,24,4,1,2,1
151,0,276,5,0,2,4,5,76,4,1,2,1
152,12,27,21,3,5,6,4,106,4,1,0,1
153,5,418,5,0,5,7,4,100,4,1,2,2
154,9,786,12,0,6,6,8,62,4,1,2,1
155,0,1040,11,0,2,4,6,63,4,1,4,1
156,14,202,17,1,4,5,5,14,4,0,1,1
157,5,320,14,0,5,7,5,102,4,1,3,2
158,5,655,8,0,5,5,4,101,4,1,0,1
159,0,1045,12,0,2,5,4,61,4,1,4,2
160,3,115,17,0,1,3,5,57,4,1,1,1
161,1,138,3,0,2,4,6,29,4,0,0,0
162,0,560,12,0,2,4,4,59,4,1,1,1
163,0,337,12,0,2,4,2,62,4,1,0,0
164,1,126,17,0,2,4,7,41,4,1,3,0
165,0,825,5,0,2,4,4,97,2,1,3,1
166,4,912,6,0,0,7,8,38,2,1,2,3
167,4,151,19,0,0,4,7,1,2,0,4,0
168,7,651,17,0,4,6,6,18,4,0,0,1
169,14,191,18,1,5,4,7,20,4,1,0,1
170,10,320,20,2,2,4,4,78,4,1,1,1
171,0,202,5,0,2,4,6,73,4,1,2,1
172,0,162,5,0,2,6,4,107,4,1,4,2
173,4,181,17,0,0,5,5,28,2,1,0,1
174,0,724,12,0,2,4,5,55,4,1,0,1
175,8,430,12,0,7,5,4,63,4,1,2,1
176,0,1037,11,0,2,3,4,64,4,1,1,1
177,0,973,20,0,2,6,4,99,4,1,1,2
178,0,457,12,0,2,3,4,60,4,1,4,1
179,4,322,7,0,0,3,2,46,4,0,3,0
180,0,358,19,0,2,4,4,69,4,1,1,1
181,10,189,11,2,6,6,4,98,2,1,2,2
182,5,537,5,0,5,7,4,107,4,1,1,4
183,6,727,6,0,5,7,6,33,4,1,0,2
184,5,854,12,0,5,5,5,69,2,1,3,1
185,5,769,16,0,5,8,4,106,4,1,0,3
186,0,661,12,0,2,5,4,61,4,1,2,1
187,0,375,11,0,2,4,4,86,4,1,3,1
188,11,176,16,4,2,6,4,106,4,1,0,2
189,0,596,14,0,2,6,4,77,4,1,3,1
190,0,571,21,0,2,7,4,108,4,1,2,2
191,5,493,15,0,5,7,4,91,4,1,1,3
192,5,218,21,0,5,6,4,98,4,1,1,2
193,5,267,8,0,5,5,4,100,4,1,1,1
194,5,517,21,0,5,6,4,106,4,1,2,2
195,11,371,16,4,2,8,4,109,4,1,2,3
196,14,553,7,1,0,4,6,43,2,1,2,1
197,1,338,17,0,2,4,5,27,4,1,1,1
198,0,341,20,0,2,6,4,102,4,1,3,1
199,13,5,10,3,7,3,4,74,4,1,3,0
200,0,217,12,0,2,4,6,56,4,1,2,1
201,0,388,7,0,2,3,4,52,4,1,0,1
202,0,939,20,0,2,6,6,91,4,1,3,2
203,1,102,17,0,2,4,4,29,4,0,2,0
204,0,732,7,0,2,3,2,58,2,0,3,0
205,0,607,5,0,2,7,4,109,4,1,4,2
206,0,267,7,0,2,5,6,77,2,1,1,1
207,5,783,16,0,5,7,4,105,4,1,1,3
208,0,414,23,0,2,7,4,107,4,1,1,2
209,5,46,17,0,5,6,7,47,2,1,3,1
210,4,901,23,0,0,6,4,91,2,1,1,1
211,5,368,5,0,5,6,4,107,4,1,0,2
212,5,292,21,0,5,6,4,107,4,1,3,2
213,0,486,16,0,2,6,4,110,4,1,3,2
214,6,202,6,0,5,6,5,35,1,1,2,1
215,4,598,17,0,0,4,6,20,4,1,3,1
216,6,159,17,0,5,4,3,6,4,0,3,1
217,4,59,17,0,0,5,7,30,4,1,3,1
218,5,945,14,0,5,5,4,72,4,1,0,1
219,4,424,3,0,0,6,5,29,2,1,2,1
220,0,967,12,0,2,7,5,71,2,1,1,2
221,10,136,7,2,2,3,4,56,4,0,2,0
222,0,640,11,0,2,4,4,92,4,1,1,0
223,0,823,16,0,2,9,4,107,4,1,3,3
224,0,313,11,0,2,4,6,83,4,1,1,1
225,1,150,3,0,2,3,5,31,4,0,2,0
226,0,766,12,0,2,5,4,58,4,1,2,1
227,8,195,12,0,7,4,4,56,4,1,1,1
228,0,437,11,0,2,6,4,104,4,1,4,2
229,4,361,3,0,0,5,6,27,4,1,1,2
230,12,40,21,4,5,6,4,106,4,1,0,1
231,0,838,15,0,2,7,4,93,4,1,1,4
232,4,889,19,0,0,4,4,59,2,1,0,1
233,14,711,17,1,5,3,5,4,4,1,4,1
234,4,109,6,0,0,4,5,14,4,1,1,1
235,4,95,3,0,0,5,6,48,2,1,0,1
236,0,839,17,0,2,4,4,57,4,1,2,0
237,0,953,21,0,2,7,4,108,4,1,1,2
238,12,41,21,4,5,6,4,105,4,1,4,1
239,0,763,5,0,2,6,4,97,4,1,3,2
240,0,870,12,0,2,4,6,57,4,1,1,1
241,0,792,12,0,2,5,3,54,4,1,3,1
242,5,280,8,0,5,5,4,106,4,1,2,1
243,5,653,8,0,5,5,4,98,4,1,2,1
244,5,941,8,0,5,4,5,49,4,1,0,1
245,1,135,3,0,2,4,6,25,4,1,0,0
246,0,190,19,0,2,4,5,78,4,1,3,1
247,0,522,12,0,2,4,6,60,2,1,4,1
248,1,107,3,0,2,3,6,43,4,1,3,0
249,9,229,11,0,6,5,5,79,4,1,1,1
250,4,227,9,0,0,3,3,24,2,1,4,0
251,14,794,7,1,0,3,3,44,1,0,4,0
252,0,780,16,0,2,7,4,108,4,1,1,3
253,0,925,15,0,2,7,4,95,4,1,2,3
254,8,509,12,0,7,4,4,68,4,1,0,1
255,0,976,5,0,2,6,4,102,4,1,3,1
256,0,270,12,0,2,5,7,70,4,1,3,1
257,0,896,20,0,2,4,4,105,4,1,2,1
258,5,952,15,0,5,7,4,96,4,1,3,4
259,0,339,19,0,2,4,4,68,4,1,4,1
260,0,292,12,0,2,3,3,72,4,1,0,0
261,11,62,0,4,2,7,4,107,4,1,0,2
262,9,206,11,0,6,4,6,71,2,1,1,1
263,0,621,14,0,2,5,6,78,4,1,4,2
264,1,51,9,0,2,3,3,26,4,0,2,0
265,0,601,12,0,2,3,4,56,4,1,3,1
266,6,247,17,0,5,3,6,14,4,1,4,1
267,5,557,14,0,5,6,4,77,4,1,0,1
268,5,415,8,0,5,5,4,99,4,1,2,1
269,5,924,15,0,5,7,4,101,4,1,2,2
270,0,852,19,0,2,4,5,63,4,1,2,1
271,11,64,13,4,2,5,5,78,4,1,2,1
272,0,867,11,0,2,7,4,103,4,1,2,2
273,0,324,19,0,2,5,7,64,4,1,0,1
274,4,294,7,0,0,4,5,43,4,0,1,1
275,8,535,11,0,7,6,4,91,4,1,3,1
276,8,425,8,0,7,6,4,93,4,1,1,1
277,0,327,20,0,2,6,4,101,4,1,1,1
278,4,47,17,0,0,4,6,48,4,1,3,1
279,0,859,20,0,2,5,4,106,4,1,0,1
280,0,202,12,0,2,3,4,51,4,1,0,1
281,5,720,5,0,5,6,4,99,4,1,2,2
282,0,357,9,0,2,4,4,53,4,0,4,0
283,5,314,5,0,5,6,4,105,4,1,2,1
284,4,95,18,0,0,4,5,28,4,1,4,1
285,5,624,16,0,5,6,4,104,4,1,2,2
286,0,922,16,0,2,7,4,107,4,1,1,3
287,0,227,20,0,2,6,4,105,4,1,2,1
288,14,740,19,1,2,4,3,66,4,1,4,1
289,0,253,19,0,2,4,6,68,4,1,3,1
290,5,469,15,0,5,7,4,100,4,1,3,3
291,5,327,5,0,5,6,4,104,4,1,2,2
292,5,992,8,0,5,6,4,107,4,1,0,1
293,0,824,15,0,2,7,4,95,4,1,0,2
294,4,145,3,0,0,4,5,32,4,1,0,1
295,0,160,3,0,2,2,5,50,4,0,2,0
296,0,304,17,0,2,4,6,56,2,1,2,1
297,5,815,5,0,5,6,4,105,4,1,0,1
298,0,541,14,0,2,4,5,74,4,1,2,1
299,0,674,5,0,2,7,4,108,4,1,2,1
300,5,963,5,0,5,7,4,107,4,1,0,2
301,0,861,5,0,2,5,4,98,4,1,2,2
302,0,842,12,0,2,5,7,61,2,1,1,1
303,0,498,14,0,2,6,4,70,4,1,0,1
304,8,914,14,0,7,6,4,81,4,1,3,1
305,10,245,7,2,2,3,2,78,4,1,1,1
306,3,620,6,0,1,4,4,30,4,0,1,0
307,0,181,12,0,2,4,6,61,4,1,1,1
308,11,81,5,4,2,5,4,104,4,1,3,1
309,5,464,21,0,5,6,4,104,4,1,3,2
310,3,409,20,0,1,5,2,32,4,0,3,0
311,0,772,21,0,2,7,4,107,4,1,2,2
312,6,861,6,0,5,6,5,43,4,1,1,2
313,1,320,18,0,2,1,4,24,4,0,3,0
314,12,23,2,4,5,4,5,71,4,1,3,1
315,9,383,5,0,6,4,4,97,4,1,0,1
316,10,202,17,2,6,4,4,81,4,1,1,1
317,0,626,12,0,2,4,5,54,4,1,3,1
318,5,263,8,0,5,6,4,104,4,1,0,1
319,0,449,21,0,2,7,4,109,4,1,3,2
320,5,606,8,0,5,7,4,106,4,1,0,2
321,5,440,20,0,5,5,4,86,4,1,4,1
322,1,360,3,0,2,4,4,24,1,1,1,1
323,0,761,8,0,2,6,4,91,4,1,3,1
324,3,138,3,0,1,6,7,33,4,1,1,1
325,12,6,2,3,5,4,6,73,4,1,3,1
326,0,269,12,0,2,4,6,54,2,1,4,1
327,5,1009,14,0,5,5,4,77,4,1,0,1
328,4,961,4,0,0,6,3,54,4,1,0,2
329,0,159,11,0,2,4,8,83,2,1,2,1
330,0,994,7,0,2,3,5,57,4,1,3,1
331,5,696,20,0,5,5,4,93,4,1,4,1
332,8,808,11,0,7,5,4,77,4,1,4,1
333,0,422,5,0,2,6,4,101,4,1,0,2
334,8,342,8,0,7,6,4,96,4,1,3,1
335,5,861,20,0,5,6,4,92,4,1,1,2
336,4,202,9,0,0,4,5,41,4,1,0,1
337,5,932,15,0,5,7,6,94,2,1,0,3
338,11,279,20,4,2,5,4,81,4,1,4,1
339,13,52,7,4,7,5,4,106,4,1,2,1
340,0,541,12,0,2,5,5,63,4,1,4,1
341,5,438,15,0,5,7,4,99,4,1,2,3
342,4,334,12,0,0,4,4,48,4,1,2,1
343,5,204,5,0,5,6,4,104,4,1,2,1
344,11,67,12,4,2,5,4,99,4,1,2,1
345,8,781,14,0,7,5,6,85,4,1,1,1
346,0,159,12,0,2,4,4,63,4,0,3,1
347,12,26,7,3,5,6,4,105,4,1,0,1
348,0,639,4,0,2,4,4,56,4,1,3,1
349,10,332,9,2,2,4,4,64,4,0,4,1
350,6,793,6,0,5,7,5,37,4,1,1,3
351,0,691,19,0,2,4,4,66,4,1,2,1
352,5,970,15,0,5,7,4,92,4,1,0,2
353,5,260,8,0,5,5,4,103,4,1,4,2
354,0,220,17,0,2,5,6,58,4,1,4,1
355,0,545,11,0,2,4,4,75,4,1,0,1
356,0,438,5,0,2,4,5,76,4,1,2,1
357,4,858,3,0,0,5,6,27,4,1,2,2
358,0,379,5,0,2,6,4,107,4,1,3,2
359,0,308,19,0,2,4,4,69,4,1,2,1
360,6,340,18,0,5,4,5,15,4,0,2,1
361,5,650,14,0,5,4,4,70,4,1,1,1
362,5,665,15,0,5,6,4,95,4,1,2,2
363,11,128,22,4,2,7,4,85,4,1,3,1
364,0,929,6,0,2,5,6,58,4,1,1,2
365,5,1008,12,0,5,5,4,66,2,1,1,1
366,12,6,2,3,5,5,6,73,4,1,0,1
367,6,154,9,0,5,4,4,24,4,0,3,0
368,6,530,17,0,5,3,3,29,4,0,0,1
369,5,336,8,0,5,5,4,107,4,1,1,1
370,8,874,12,0,7,4,4,67,4,1,0,1
371,7,1039,12,0,5,7,3,22,2,1,0,2
372,0,202,12,0,2,4,7,51,4,1,1,1
373,0,741,21,0,2,6,4,108,4,1,2,1
374,0,684,16,0,2,7,4,107,4,1,3,2
375,5,643,8,0,5,6,4,100,4,1,3,2
376,0,201,5,0,2,4,6,73,4,1,2,1
377,5,871,15,0,5,6,4,93,4,1,0,2
378,0,397,23,0,2,7,4,108,4,1,3,2
379,0,715,14,0,2,5,4,77,4,1,2,1
380,0,509,12,0,2,5,5,59,4,1,1,1
381,0,113,17,0,2,4,6,55,2,1,0,1
382,11,101,21,4,2,8,4,100,4,1,2,3
383,1,809,7,0,2,3,4,43,4,1,3,0
384,0,840,16,0,2,7,4,109,4,1,3,2
385,4,95,17,0,0,4,3,9,4,0,0,0
386,13,1,10,4,6,3,3,71,4,1,3,0
387,0,542,12,0,2,5,5,65,4,1,3,1
388,0,320,20,0,2,3,3,51,1,1,3,0
389,5,875,16,0,5,7,4,105,4,1,0,3
390,0,614,12,0,2,4,4,60,4,1,4,1
391,0,483,23,0,2,7,4,108,4,1,2,2
392,4,610,12,0,0,5,5,50,4,1,1,1
393,5,198,20,0,5,5,4,93,2,1,0,1
394,4,242,6,0,0,4,5,25,4,1,3,1
395,0,409,9,0,2,1,2,50,4,0,0,0
396,11,41,0,4,2,6,4,106,4,1,3,1
397,0,756,5,0,2,7,4,102,4,1,3,2
398,5,955,8,0,5,6,4,105,4,1,2,1
399,0,1025,11,0,2,4,4,55,4,1,2,1
400,5,814,14,0,5,6,6,77,4,1,1,1
401,0,637,12,0,2,4,2,52,4,0,0,1
402,5,576,8,0,5,5,4,106,4,1,1,1
403,0,184,7,0,2,3,4,106,4,1,2,1
404,13,52,7,4,6,5,4,106,4,1,0,1
405,4,135,18,0,0,4,4,30,1,1,0,1
406,1,581,3,0,2,5,6,22,2,1,2,1
407,0,996,11,0,2,4,4,78,4,1,0,1
408,11,71,21,4,2,6,4,107,4,1,1,2
409,1,134,17,0,2,3,6,40,4,1,1,0
410,0,312,12,0,2,3,4,72,4,1,1,1
411,10,196,6,2,5,5,5,47,4,0,1,1
412,0,898,5,0,2,6,4,102,4,1,0,2
413,4,135,3,0,0,5,5,44,2,1,1,1
414,14,1046,11,1,2,3,3,62,2,1,1,1
415,0,335,5,0,2,6,4,105,4,1,3,1
416,12,16,21,3,5,5,4,101,4,1,1,1
417,9,435,20,0,6,4,6,84,4,1,1,1
418,0,588,12,0,2,4,4,68,4,1,1,1
419,0,131,12,0,2,4,6,57,4,1,4,1
420,0,778,16,0,2,7,4,108,4,1,1,3
421,5,446,12,0,5,5,5,63,4,1,2,1
422,12,29,10,4,5,4,2,77,4,1,4,0
423,11,44,21,4,2,7,4,106,4,1,0,1
424,10,183,20,2,5,4,4,80,4,1,3,1
425,0,945,16,0,2,9,4,108,4,1,2,3
426,0,509,5,0,2,6,4,101,4,1,3,2
427,5,797,4,0,5,5,7,67,4,1,1,1
428,1,264,9,0,2,3,4,24,4,0,3,0
429,1,651,17,0,2,3,6,4,4,1,1,1
430,12,100,21,4,5,6,4,105,4,1,1,1
431,12,6,2,3,5,4,4,72,4,1,3,1
432,0,198,20,0,2,5,4,92,4,1,2,1
433,0,564,12,0,2,5,4,65,4,1,2,1
434,4,501,18,0,0,5,6,23,4,1,4,1
435,0,427,5,0,2,5,4,104,4,1,0,2
436,5,261,8,0,5,5,4,103,4,1,0,1
437,5,1013,8,0,5,6,4,106,4,1,0,3
438,0,1020,6,0,2,5,4,54,2,1,1,2
439,4,364,7,0,0,5,3,46,4,1,4,1
440,4,651,17,0,0,4,7,39,4,1,0,1
441,5,675,5,0,5,8,4,101,4,1,3,3
442,4,322,7,0,0,4,7,9,4,1,2,1
443,10,1035,11,2,2,4,3,68,4,1,1,1
444,0,890,12,0,2,6,5,74,2,1,1,2
445,0,599,7,0,2,5,4,110,4,1,4,1
446,8,703,12,0,7,6,6,68,2,1,4,2
447,0,498,12,0,2,5,4,54,4,1,3,1
448,0,202,12,0,2,4,6,51,4,1,0,1
449,0,781,14,0,2,5,5,82,2,1,2,1
450,11,58,0,4,2,6,4,107,4,1,1,1
451,5,702,5,0,5,7,4,103,4,1,2,2
452,11,80,5,4,2,5,4,105,4,1,2,1
453,0,698,19,0,2,3,4,64,4,1,0,1
454,11,84,11,4,2,5,4,99,2,1,0,1
455,0,907,16,0,2,7,4,108,4,1,2,3
456,0,378,12,0,2,5,5,65,4,1,0,1
457,0,795,16,0,2,6,4,106,4,1,4,2
458,7,966,18,0,3,6,2,24,4,1,3,1
459,4,828,11,0,0,5,6,43,4,1,2,1
460,0,271,12,0,2,4,4,60,4,1,3,1
461,11,81,5,4,2,5,4,104,4,1,2,1
462,0,253,7,0,5,4,7,49,2,1,0,2
463,6,498,17,0,5,6,8,32,0,1,2,1
464,14,1063,23,1,0,4,5,66,4,1,2,2
465,14,593,12,1,7,5,4,59,1,1,0,1
466,0,379,5,0,2,6,4,106,4,1,1,2
467,7,880,17,0,4,9,8,7,0,1,2,3
468,0,465,5,0,2,6,4,100,4,1,2,1
469,0,409,12,0,2,5,4,57,4,1,2,1
470,6,409,17,0,5,4,5,2,4,1,0,1
471,4,732,6,0,0,6,6,39,4,1,0,2
472,5,812,20,0,5,6,4,91,4,1,4,3
473,0,630,5,0,2,6,4,107,4,1,1,2
474,12,105,22,4,5,6,6,88,2,1,0,2
475,12,26,7,3,5,5,4,105,4,1,0,1
476,0,633,12,0,2,4,5,62,4,1,0,1
477,5,497,16,0,5,7,4,105,4,1,1,3
478,6,103,17,0,5,7,4,0,2,0,2,1
479,0,594,5,0,2,7,4,105,4,1,1,3
480,5,1052,7,0,5,9,4,108,4,1,1,1
481,5,377,8,0,5,6,4,101,4,1,3,2
482,11,112,22,4,2,7,4,94,4,1,2,1
483,0,718,22,0,2,8,1,111,4,1,4,3
484,0,531,12,0,2,4,4,55,4,1,4,1
485,11,39,16,4,2,6,4,104,4,1,0,1
486,5,282,8,0,5,5,4,101,4,1,1,1
